region_type,region,date,statistic,num_people
state,"Arizona, US (State/Province)",2020-01-26,confirmed,1
state,"Arizona, US (State/Province)",2020-01-26,deaths,0
state,"Arizona, US (State/Province)",2020-01-26,recovered,0
state,"Arizona, US (State/Province)",2020-01-27,active,1
state,"Arizona, US (State/Province)",2020-01-27,confirmed,1
state,"Arizona, US (State/Province)",2020-01-27,deaths,0
state,"Arizona, US (State/Province)",2020-01-27,recovered,0
state,"Arizona, US (State/Province)",2020-01-28,active,1
state,"Arizona, US (State/Province)",2020-01-28,confirmed,1
state,"Arizona, US (State/Province)",2020-01-28,deaths,0
state,"Arizona, US (State/Province)",2020-01-28,recovered,0
state,"Arizona, US (State/Province)",2020-01-29,active,1
state,"Arizona, US (State/Province)",2020-01-29,confirmed,1
state,"Arizona, US (State/Province)",2020-01-29,deaths,0
state,"Arizona, US (State/Province)",2020-01-29,recovered,0
state,"Arizona, US (State/Province)",2020-01-30,active,1
state,"Arizona, US (State/Province)",2020-01-30,confirmed,1
state,"Arizona, US (State/Province)",2020-01-30,deaths,0
state,"Arizona, US (State/Province)",2020-01-30,recovered,0
state,"Arizona, US (State/Province)",2020-01-31,active,1
state,"Arizona, US (State/Province)",2020-01-31,confirmed,1
state,"Arizona, US (State/Province)",2020-01-31,deaths,0
state,"Arizona, US (State/Province)",2020-01-31,recovered,0
state,"Arizona, US (State/Province)",2020-02-01,active,1
state,"Arizona, US (State/Province)",2020-02-01,confirmed,1
state,"Arizona, US (State/Province)",2020-02-01,deaths,0
state,"Arizona, US (State/Province)",2020-02-01,recovered,0
state,"Arizona, US (State/Province)",2020-02-02,active,1
state,"Arizona, US (State/Province)",2020-02-02,confirmed,1
state,"Arizona, US (State/Province)",2020-02-02,deaths,0
state,"Arizona, US (State/Province)",2020-02-02,recovered,0
state,"Arizona, US (State/Province)",2020-02-03,active,1
state,"Arizona, US (State/Province)",2020-02-03,confirmed,1
state,"Arizona, US (State/Province)",2020-02-03,deaths,0
state,"Arizona, US (State/Province)",2020-02-03,recovered,0
state,"Arizona, US (State/Province)",2020-02-04,active,1
state,"Arizona, US (State/Province)",2020-02-04,confirmed,1
state,"Arizona, US (State/Province)",2020-02-04,deaths,0
state,"Arizona, US (State/Province)",2020-02-04,recovered,0
state,"Arizona, US (State/Province)",2020-02-05,active,1
state,"Arizona, US (State/Province)",2020-02-05,confirmed,1
state,"Arizona, US (State/Province)",2020-02-05,deaths,0
state,"Arizona, US (State/Province)",2020-02-05,recovered,0
state,"Arizona, US (State/Province)",2020-02-06,active,1
state,"Arizona, US (State/Province)",2020-02-06,confirmed,1
state,"Arizona, US (State/Province)",2020-02-06,deaths,0
state,"Arizona, US (State/Province)",2020-02-06,recovered,0
state,"Arizona, US (State/Province)",2020-02-07,active,1
state,"Arizona, US (State/Province)",2020-02-07,confirmed,1
state,"Arizona, US (State/Province)",2020-02-07,deaths,0
state,"Arizona, US (State/Province)",2020-02-07,recovered,0
state,"Arizona, US (State/Province)",2020-02-08,active,1
state,"Arizona, US (State/Province)",2020-02-08,confirmed,1
state,"Arizona, US (State/Province)",2020-02-08,deaths,0
state,"Arizona, US (State/Province)",2020-02-08,recovered,0
state,"Arizona, US (State/Province)",2020-02-09,active,1
state,"Arizona, US (State/Province)",2020-02-09,confirmed,1
state,"Arizona, US (State/Province)",2020-02-09,deaths,0
state,"Arizona, US (State/Province)",2020-02-09,recovered,0
state,"Arizona, US (State/Province)",2020-02-10,active,1
state,"Arizona, US (State/Province)",2020-02-10,confirmed,1
state,"Arizona, US (State/Province)",2020-02-10,deaths,0
state,"Arizona, US (State/Province)",2020-02-10,recovered,0
state,"Arizona, US (State/Province)",2020-02-11,active,1
state,"Arizona, US (State/Province)",2020-02-11,confirmed,1
state,"Arizona, US (State/Province)",2020-02-11,deaths,0
state,"Arizona, US (State/Province)",2020-02-11,recovered,0
state,"Arizona, US (State/Province)",2020-02-12,active,1
state,"Arizona, US (State/Province)",2020-02-12,confirmed,1
state,"Arizona, US (State/Province)",2020-02-12,deaths,0
state,"Arizona, US (State/Province)",2020-02-12,recovered,0
state,"Arizona, US (State/Province)",2020-02-13,active,1
state,"Arizona, US (State/Province)",2020-02-13,confirmed,1
state,"Arizona, US (State/Province)",2020-02-13,deaths,0
state,"Arizona, US (State/Province)",2020-02-13,recovered,0
state,"Arizona, US (State/Province)",2020-02-14,active,1
state,"Arizona, US (State/Province)",2020-02-14,confirmed,1
state,"Arizona, US (State/Province)",2020-02-14,deaths,0
state,"Arizona, US (State/Province)",2020-02-14,recovered,0
state,"Arizona, US (State/Province)",2020-02-15,active,1
state,"Arizona, US (State/Province)",2020-02-15,confirmed,1
state,"Arizona, US (State/Province)",2020-02-15,deaths,0
state,"Arizona, US (State/Province)",2020-02-15,recovered,0
state,"Arizona, US (State/Province)",2020-02-16,active,1
state,"Arizona, US (State/Province)",2020-02-16,confirmed,1
state,"Arizona, US (State/Province)",2020-02-16,deaths,0
state,"Arizona, US (State/Province)",2020-02-16,recovered,0
state,"Arizona, US (State/Province)",2020-02-17,active,1
state,"Arizona, US (State/Province)",2020-02-17,confirmed,1
state,"Arizona, US (State/Province)",2020-02-17,deaths,0
state,"Arizona, US (State/Province)",2020-02-17,recovered,0
state,"Arizona, US (State/Province)",2020-02-18,active,1
state,"Arizona, US (State/Province)",2020-02-18,confirmed,1
state,"Arizona, US (State/Province)",2020-02-18,deaths,0
state,"Arizona, US (State/Province)",2020-02-18,recovered,0
state,"Arizona, US (State/Province)",2020-02-19,active,1
state,"Arizona, US (State/Province)",2020-02-19,confirmed,1
state,"Arizona, US (State/Province)",2020-02-19,deaths,0
state,"Arizona, US (State/Province)",2020-02-19,recovered,0
state,"Arizona, US (State/Province)",2020-02-20,active,1
state,"Arizona, US (State/Province)",2020-02-20,confirmed,1
state,"Arizona, US (State/Province)",2020-02-20,deaths,0
